                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3649,                 8.4168,                 2.4438,                 0.0125,                0.27253,                0.01162,                0.00246,                 2.4172,                 8.8374,                 1.9384,              0.0004085,              0.0004085,              0.0004085
                      2,                 2.9633,                 6.6732,                 2.3406,                0.01664,                0.61549,                 0.1571,                0.06412,                 2.4501,                 7.4643,                 2.0889,             0.00081427,             0.00081427,             0.00081427
                      3,                 2.8705,                 5.7247,                 2.2878,                0.75852,                0.31745,                0.35765,                0.18066,                 2.4548,                 5.3794,                 2.1506,               0.001209,               0.001209,               0.001209
                      4,                 2.6442,                 5.2063,                  2.185,                0.49084,                0.51061,                0.42977,                0.21168,                 2.4605,                 5.1722,                 2.1853,              0.0012005,              0.0012005,              0.0012005
                      5,                  2.548,                 4.8816,                 2.1304,                0.42977,                0.58013,                0.49898,                0.27174,                 2.4055,                 4.8116,                 2.1923,               0.001184,               0.001184,               0.001184
                      6,                 2.4723,                 4.7858,                 2.0968,                0.33455,                0.63594,                0.35113,                0.22253,                 2.2501,                 5.2596,                 2.1564,              0.0011675,              0.0011675,              0.0011675
                      7,                 2.3289,                 4.2575,                 2.0592,                0.56135,                0.63989,                0.62491,                 0.4149,                 2.0061,                 4.0715,                  2.074,               0.001151,               0.001151,               0.001151
                      8,                 2.2601,                 4.3975,                 2.0753,                 0.5854,                 0.6083,                0.63846,                0.45627,                 1.9383,                 3.6645,                 2.0104,              0.0011345,              0.0011345,              0.0011345
                      9,                 2.2097,                   4.14,                 2.0414,                 0.4976,                0.75893,                0.66828,                0.47497,                 1.9611,                 3.5667,                 2.0224,               0.001118,               0.001118,               0.001118
                     10,                 2.0912,                 3.7001,                 2.0058,                0.57877,                0.66591,                0.70777,                0.51666,                   1.93,                 3.2679,                 1.9951,              0.0011015,              0.0011015,              0.0011015
                     11,                 2.0473,                 3.6378,                 1.9951,                0.66924,                0.76753,                0.78126,                0.58474,                 1.7645,                 3.0681,                 1.9427,               0.001085,               0.001085,               0.001085
                     12,                 2.0035,                 3.3812,                  1.995,                0.53349,                0.76635,                0.72277,                0.51146,                 2.0586,                 3.0376,                 2.0221,              0.0010685,              0.0010685,              0.0010685
                     13,                 1.9552,                 3.3333,                 1.9496,                  0.575,                0.76833,                0.77203,                0.58222,                 1.7088,                 2.9417,                 1.9126,               0.001052,               0.001052,               0.001052
                     14,                 1.9516,                  3.105,                 1.9282,                0.69428,                0.73478,                0.81043,                0.64277,                 1.5144,                 2.6557,                  1.864,              0.0010355,              0.0010355,              0.0010355
                     15,                 1.9024,                 2.9936,                 1.9427,                0.74611,                0.77602,                0.85002,                0.66711,                 1.6589,                 2.4821,                 1.9121,               0.001019,               0.001019,               0.001019
                     16,                 1.9764,                 2.9357,                 1.9817,                0.75868,                0.86949,                0.86394,                0.66908,                 1.8318,                 2.3766,                 1.9604,              0.0010025,              0.0010025,              0.0010025
                     17,                 1.8946,                 2.7334,                 1.9312,                0.75874,                0.84189,                0.88287,                0.67762,                 1.8018,                 2.2243,                 1.9374,               0.000986,               0.000986,               0.000986
                     18,                 1.8462,                 2.6108,                 1.9004,                0.81927,                0.79917,                0.89145,                0.72059,                 1.5595,                 2.1318,                  1.868,              0.0009695,              0.0009695,              0.0009695
                     19,                 1.7757,                 2.6377,                 1.8846,                 0.7746,                0.82857,                0.88013,                0.71726,                 1.4557,                 2.1652,                 1.8364,               0.000953,               0.000953,               0.000953
                     20,                 1.7787,                 2.5687,                 1.8655,                0.73684,                0.80192,                0.88699,                 0.7061,                 1.7182,                 2.1841,                 1.9131,              0.0009365,              0.0009365,              0.0009365
                     21,                 1.8228,                 2.5691,                 1.9087,                0.83344,                0.81437,                0.90961,                0.67867,                 2.0195,                 2.1513,                 2.0138,                0.00092,                0.00092,                0.00092
                     22,                 1.6781,                 2.4618,                 1.8459,                0.87137,                0.84782,                0.91837,                 0.7651,                 1.3959,                  1.886,                 1.8066,              0.0009035,              0.0009035,              0.0009035
                     23,                  1.733,                 2.2399,                 1.8852,                0.86785,                0.88069,                0.92582,                0.76275,                 1.4724,                 1.8547,                 1.8198,               0.000887,               0.000887,               0.000887
