                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.55386,                 0.3825,                0.84266,                0.98648,                0.96885,                 0.9894,                0.89556,                0.50925,                0.32089,                0.83671,              0.0006725,              0.0006725,              0.0006725
                     37,                0.54589,                0.38098,                0.85163,                0.98875,                0.95345,                 0.9878,                0.86382,                0.61552,                0.34612,                0.86278,               0.000656,               0.000656,               0.000656
                     38,                0.54767,                0.37729,                0.84539,                0.98943,                0.96627,                0.98823,                0.88069,                0.50765,                0.31444,                0.84537,              0.0006395,              0.0006395,              0.0006395
                     39,                0.56113,                0.37751,                0.86113,                0.98491,                0.97192,                0.98685,                0.88339,                0.52158,                0.30712,                0.84277,               0.000623,               0.000623,               0.000623
                     40,                0.53579,                0.36552,                0.84097,                0.99107,                0.96823,                0.98563,                0.89921,                0.47775,                0.30182,                0.83032,              0.0006065,              0.0006065,              0.0006065
                     41,                0.52298,                0.34638,                0.83937,                 0.9841,                0.96866,                0.98822,                0.88457,                 0.5295,                0.30961,                0.84232,                0.00059,                0.00059,                0.00059
                     42,                0.51622,                0.35013,                0.83033,                0.98085,                0.96393,                0.98704,                0.89716,                0.46149,                0.30358,                 0.8284,              0.0005735,              0.0005735,              0.0005735
                     43,                0.50044,                0.34882,                0.82853,                0.98519,                0.96388,                0.98866,                0.88621,                0.52327,                0.31726,                0.83997,               0.000557,               0.000557,               0.000557
                     44,                0.48538,                0.34176,                0.82696,                0.99217,                0.95809,                0.98968,                0.91382,                0.45707,                0.29062,                0.82773,              0.0005405,              0.0005405,              0.0005405
                     45,                0.48223,                0.34064,                0.82327,                0.99079,                0.96921,                0.99027,                0.90959,                0.43514,                0.27934,                0.82698,               0.000524,               0.000524,               0.000524
                     46,                0.49307,                 0.3448,                0.83857,                0.98997,                0.97159,                 0.9904,                0.90467,                0.48216,                0.28401,                0.83881,              0.0005075,              0.0005075,              0.0005075
                     47,                0.48865,                0.33535,                0.83293,                0.99034,                0.96518,                0.98952,                0.91828,                0.43271,                0.26622,                 0.8213,               0.000491,               0.000491,               0.000491
                     48,                0.48098,                0.31392,                 0.8239,                0.98644,                0.96355,                0.98942,                0.91063,                0.46953,                0.29213,                0.82983,              0.0004745,              0.0004745,              0.0004745
                     49,                0.48503,                0.31499,                0.83238,                0.99109,                0.96555,                 0.9901,                0.90926,                0.47819,                0.27884,                0.83199,               0.000458,               0.000458,               0.000458
                     50,                0.46711,                0.31407,                0.82475,                0.98382,                0.97561,                0.99021,                0.92217,                0.40098,                0.24778,                0.81392,              0.0004415,              0.0004415,              0.0004415
                     51,                0.46588,                0.32111,                0.83196,                 0.9921,                0.96791,                0.99038,                0.91482,                0.42339,                0.25479,                0.81454,               0.000425,               0.000425,               0.000425
                     52,                0.44601,                  0.312,                0.81787,                0.99538,                0.96575,                0.99038,                0.91957,                 0.4177,                 0.2469,                0.81263,              0.0004085,              0.0004085,              0.0004085
                     53,                0.47437,                0.30958,                0.84457,                0.99591,                0.96723,                0.99084,                0.91955,                0.41153,                0.24212,                0.81494,               0.000392,               0.000392,               0.000392
                     54,                0.43442,                0.31157,                0.80547,                0.99402,                 0.9689,                0.99116,                0.93167,                 0.3967,                0.24151,                0.81058,              0.0003755,              0.0003755,              0.0003755
                     55,                0.44138,                0.30078,                0.81904,                0.99532,                0.96705,                0.99093,                0.93139,                 0.3878,                0.24517,                0.80796,               0.000359,               0.000359,               0.000359
                     56,                0.44078,                0.29162,                0.82579,                0.99583,                0.96518,                0.99085,                0.92724,                0.40474,                0.24993,                0.80927,              0.0003425,              0.0003425,              0.0003425
                     57,                0.43678,                 0.2972,                0.80848,                0.99496,                0.96622,                0.99102,                0.93082,                 0.4012,                0.25218,                0.80796,               0.000326,               0.000326,               0.000326
                     58,                0.41363,                0.29368,                 0.8119,                0.99081,                0.96991,                0.99096,                0.93736,                0.38967,                0.24459,                0.80733,              0.0003095,              0.0003095,              0.0003095
                     59,                0.43091,                0.29622,                0.82095,                0.98824,                0.97159,                0.99127,                 0.9405,                0.37161,                0.23854,                0.80388,               0.000293,               0.000293,               0.000293
                     60,                0.43868,                0.29734,                0.82409,                 0.9931,                0.97341,                0.99139,                0.93852,                0.38121,                0.22905,                0.80496,              0.0002765,              0.0002765,              0.0002765
                     61,                0.40909,                0.28361,                0.81162,                0.99271,                0.97391,                0.99121,                0.93269,                0.37415,                0.22637,                0.80539,                0.00026,                0.00026,                0.00026
                     62,                0.42443,                 0.2919,                0.81065,                0.99311,                0.97796,                0.98977,                0.93779,                0.37404,                0.22942,                0.80446,              0.0002435,              0.0002435,              0.0002435
                     63,                0.39146,                0.26695,                0.80771,                0.99168,                0.97376,                0.98971,                0.94169,                0.35385,                0.22915,                0.80064,               0.000227,               0.000227,               0.000227
                     64,                0.39627,                0.26903,                0.80391,                0.99311,                0.97313,                0.99107,                0.94138,                0.36335,                0.22606,                0.80101,              0.0002105,              0.0002105,              0.0002105
                     65,                0.41143,                 0.2792,                0.80376,                 0.9951,                 0.9737,                0.99132,                0.94445,                0.35248,                0.22404,                0.79909,               0.000194,               0.000194,               0.000194
                     66,                0.40038,                0.26658,                0.81302,                0.99313,                 0.9728,                 0.9912,                0.94804,                0.36269,                0.23091,                0.79979,              0.0001775,              0.0001775,              0.0001775
                     67,                0.39543,                0.26646,                0.80155,                 0.9941,                0.97158,                0.99112,                0.92928,                0.40132,                0.24192,                0.80422,               0.000161,               0.000161,               0.000161
                     68,                0.37612,                0.25588,                0.79437,                0.99435,                0.97192,                0.99123,                0.93669,                0.38321,                0.23052,                0.80177,              0.0001445,              0.0001445,              0.0001445
                     69,                0.36295,                0.24355,                0.79717,                0.99137,                0.97875,                0.99107,                0.94428,                0.35234,                0.22162,                0.79704,               0.000128,               0.000128,               0.000128
                     70,                0.36118,                0.24244,                0.79872,                0.99169,                0.97804,                 0.9911,                0.94786,                0.35264,                0.22213,                0.79677,              0.0001115,              0.0001115,              0.0001115
                     71,                0.35826,                0.24135,                0.79139,                0.99205,                0.97149,                 0.9909,                0.94638,                0.35119,                0.22743,                0.79798,                9.5e-05,                9.5e-05,                9.5e-05
                     72,                0.33614,                0.23277,                0.80142,                0.99154,                0.97133,                0.99096,                0.94754,                0.34795,                0.22614,                0.79676,               7.85e-05,               7.85e-05,               7.85e-05
                     73,                0.34669,                 0.2267,                 0.7978,                0.99136,                  0.971,                0.99089,                0.94962,                0.35121,                0.22384,                0.79689,                6.2e-05,                6.2e-05,                6.2e-05
                     74,                0.34252,                0.23557,                0.79538,                0.99164,                 0.9709,                0.99085,                0.95264,                0.34437,                0.22415,                0.79593,               4.55e-05,               4.55e-05,               4.55e-05
                     75,                0.34432,                0.23465,                0.79682,                0.99185,                0.96982,                0.99112,                0.95263,                0.33986,                0.22046,                 0.7958,                2.9e-05,                2.9e-05,                2.9e-05
