               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.031314,            0.034202,            0.017763,              0.7827,             0.91344,             0.93681,             0.61402,            0.028152,            0.036303,            0.015141,            0.005248,            0.005248,            0.005248
                  38,            0.032087,            0.032454,            0.017296,             0.73492,             0.92408,             0.95007,             0.57695,            0.029853,            0.036114,            0.015247,            0.005116,            0.005116,            0.005116
                  39,            0.032582,            0.031444,             0.01789,             0.84923,             0.92374,             0.94683,             0.63322,            0.026146,            0.034084,            0.014729,            0.004984,            0.004984,            0.004984
                  40,            0.031187,            0.029607,            0.016983,             0.84247,             0.91042,             0.94746,             0.69713,             0.02398,            0.033453,            0.014618,            0.004852,            0.004852,            0.004852
                  41,             0.03162,            0.032307,            0.016318,             0.87506,             0.91863,             0.95773,             0.63905,            0.025059,            0.033842,            0.014287,             0.00472,             0.00472,             0.00472
                  42,            0.031749,            0.033432,            0.016738,               0.881,             0.92204,             0.96578,              0.7395,            0.022944,            0.033099,            0.013973,            0.004588,            0.004588,            0.004588
                  43,            0.030239,            0.031345,            0.016138,             0.84405,             0.93472,             0.96429,             0.71496,            0.021863,            0.032859,            0.013841,            0.004456,            0.004456,            0.004456
                  44,            0.031548,            0.030808,            0.016495,             0.88256,             0.94639,             0.97726,             0.71073,            0.023632,            0.032582,            0.012924,            0.004324,            0.004324,            0.004324
                  45,            0.030053,            0.034665,            0.015539,             0.89995,             0.96587,             0.97921,             0.65082,            0.027667,            0.033984,            0.012173,            0.004192,            0.004192,            0.004192
                  46,            0.028574,             0.03087,            0.015377,             0.91464,             0.95599,             0.97845,              0.6675,            0.026218,            0.033159,            0.012211,             0.00406,             0.00406,             0.00406
                  47,            0.027435,            0.029907,            0.014579,             0.93468,             0.97238,             0.97883,             0.67075,            0.024864,            0.033215,            0.011552,            0.003928,            0.003928,            0.003928
                  48,            0.027996,             0.03018,            0.014757,             0.95387,             0.96974,               0.979,             0.73664,            0.020881,              0.0323,             0.01123,            0.003796,            0.003796,            0.003796
                  49,            0.026523,            0.030798,            0.013837,             0.94741,             0.96635,             0.97953,             0.75006,            0.021233,            0.031513,            0.011226,            0.003664,            0.003664,            0.003664
                  50,            0.026475,            0.027254,            0.013749,             0.95249,             0.97561,             0.97942,             0.74395,             0.02077,            0.031997,            0.010726,            0.003532,            0.003532,            0.003532
                  51,            0.027323,             0.02816,            0.013314,             0.96218,             0.97106,             0.97973,             0.77397,            0.020361,            0.031162,            0.010149,              0.0034,              0.0034,              0.0034
                  52,            0.025654,            0.029667,            0.013249,             0.96148,             0.97091,             0.97903,              0.7286,            0.021398,             0.03147,            0.010023,            0.003268,            0.003268,            0.003268
                  53,            0.025226,            0.028863,            0.012798,             0.95032,             0.96663,             0.97794,             0.72802,            0.021448,            0.031213,           0.0099084,            0.003136,            0.003136,            0.003136
